userName,content
aji gendeng,aplikasi membantu   kedepannya mudah mudahan mantap lg   trims    
Sehati Cilacap,beritanya lengkap
maryuhen tri,maaf uninstall  komen mesti tampil tulisan sensitif  
Ghina Saja,berita update
Sungkono Chandra,beritanya slalu update
Mar'atul Fariha,kebanyakan iklan   tiap buka berita mengklik iklan lazada lain   parah ni
defa indrawan,penyajian berita menarik
Maman Satria,log an log in mulu   gajelas
Yosar Redhani,okay
Didi Rumpun,sekarang lemot    internet mantap pake wifi pake selular telkomsel halo    it developer otaknya lemot nampaknya ini  kasih bintang  
Suprianto Solo,detik com berguna menambah pengetahuan update kejadian    jam pokoke
Pal Guno,sayangnya beritanya lengkap terpenggal penggal
Tjong Hanny,kebanyakan iklan
Tjioe Andriyanto,          
Masno Ragi Saputro Masno,detikcom berita berita yg cepat masyarakat berita detikcom terima kasih 
Agus infinix,terlalu iklan lazada  kurangi
Dimas Purwita Kamajaya,beritanya menarik  banyak diulang ulang tambahan     baris kalimat baru 
Suharto suharto,beritanya up to date
Iwan Setiawan,membantu berita berita nomber   berita nya hoax
Hasta La Vista,infomatif lengkap beritanya
Akang aden Den kusumah,sangat berguna   bermanfaat kabar berita jabar indonesia
Beni Firdaus,berita kilkal
ahmad Junaedi, coba broo 
Nur Ramadhaniati Pamuji,update good
agus pramana,simple
billy semar,gimana ya      berita topik berulang ulang  ganti judul  redaksi berkaitan sekali  selebihnya redaksi persis redaksi berita sejenis  
Imanuel Radot,daftar detik id susah banget cuy
wildan wahyudin,parah log uut
Ario Parikesit,gak dibuka  mati  hilang dlm detik
wiyono jaya,aktual terpercsya
terry terry,makin susah buka apl detik ini   eror mulu   coba cek bug nya it nya mana  
Mulyadi,okee   mantap   
Muhamad Juanda,edit jd bintang    error mulu dr   kemaren  ga buka berita
Ekoprijava SKF.fastindo,susah update versy
Dede Adrianto,makin iklan  sulit dibuka berita nya    padahal android versi terbaru  sinyal oke    tapi buka berita detikcom kayak buka kaleng biskuit susah cari selotipnya        bravo detikcom
Deadpool Day,ini lgi down kah   dei tdi mlam buka data eror mulu
Jubray Brow,  
Barev Rusdianto,good news
Saprizal Riau,aplikasi gk dibuka   
saimin saimin,iklan    
MARINTEN M SALYABO,aplikasi nya gus bnge dpt info ap yg trjd  
Andra Iskandar,mantap   
febry sandro,lenkap   update
Wahyu alle Alle wahyu,swasta
